Time,Frame,WT,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12
100.258,50129,7.795,11.1603,10.2472,3.8289,7.9469,7.7459,5.7234,7.5994,8.1215,7.7458,10.8997,3.5635,3.6981
100.26,50130,9.0601,11.2187,10.9138,3.8227,7.5122,8.1085,5.6922,7.3763,8.2356,7.8205,11.0756,3.7527,3.7909
100.262,50131,8.8657,11.2138,10.6664,4.0709,8.1098,8.7658,5.3231,7.8009,8.6806,7.0299,11.0499,3.5797,3.8931
100.264,50132,8.5413,11.3008,10.4606,4.1519,7.8794,7.7246,5.8651,8.212,8.7364,7.9332,11.3651,3.5027,3.9396
100.266,50133,8.1959,11.1343,10.279,3.6189,8.0786,7.3704,6.0562,7.6964,8.5216,7.7295,11.0616,3.4475,4.2092
100.268,50134,8.3332,11.1296,10.5,4.0876,7.4733,8.2434,5.7731,7.3504,8.1533,7.8997,11.2259,3.4459,3.6327
100.27,50135,8.5399,11.2281,10.3995,4.22,7.6927,7.6126,6.072,7.5943,7.7644,7.6846,10.8117,3.6692,3.8667
100.272,50136,8.7582,11.5012,10.3409,3.8507,7.8941,7.6917,4.9352,7.2174,8.4527,7.4299,11.2817,3.3932,3.7045
100.274,50137,8.2884,11.0124,10.5767,3.758,7.6057,8.0221,5.502,7.3589,8.3304,7.0437,10.9348,3.5876,3.8578
100.276,50138,8.4198,11.0411,10.365,4.2801,7.4893,7.9329,5.9068,7.0798,9.3249,7.2304,10.8046,3.5417,3.692
100.278,50139,8.6741,10.8663,10.0025,3.9353,8.2195,7.2501,5.9111,7.8181,8.2324,7.5333,11.3995,3.739,3.6753
100.28,50140,8.4603,10.5603,10.8582,3.8574,7.6586,7.233,6.0937,7.7526,8.8777,7.814,10.7721,3.3269,3.4061
100.282,50141,9.0154,10.197,10.0891,3.8089,7.9123,7.0586,5.8119,7.3471,8.5991,7.219,11.0877,3.684,3.5309
100.284,50142,8.864,10.8063,10.2406,3.93,7.7896,7.5269,5.8175,7.2118,9.5226,7.5138,10.8868,3.4208,3.6573
100.286,50143,9.0645,10.0944,10.5235,3.8702,7.4417,7.6286,5.833,7.2546,7.8799,7.6483,11.2095,3.5561,3.6743
100.288,50144,9.0786,10.3811,10.2251,3.9346,8.1542,7.8659,6.0431,7.169,7.6381,7.3496,11.1039,3.4851,3.8469
100.29,50145,8.9498,10.351,10.7193,3.6291,8.1033,8.3433,5.7551,7.0352,9.1719,7.4705,11.187,3.517,4.0489
100.292,50146,8.8421,10.3499,10.8898,4.1408,7.9818,7.3867,5.4134,7.0568,8.6806,7.3516,11.6559,3.5208,4.5446
100.294,50147,8.8596,10.4644,10.1957,3.823,8.1841,7.6728,5.8181,7.987,8.6053,7.3497,11.29,3.6646,4.1288
100.296,50148,8.6838,11.1492,10.0819,3.9079,7.6021,8.1157,5.8439,7.1659,8.6434,7.475,11.7323,3.6583,3.9042
100.298,50149,8.7574,10.3381,11.2463,3.896,8.0075,8.478,5.8479,7.235,8.2414,7.4002,11.6049,3.5903,4.107
100.3,50150,9.0678,10.6973,10.2928,3.9458,7.9827,7.4141,6.3417,7.3494,8.1604,7.5441,11.5836,3.7277,3.9271
100.302,50151,9.1277,10.3267,10.4468,3.7559,7.8223,8.0923,5.8214,7.4888,8.6753,7.4202,10.7378,3.6753,4.0852
100.304,50152,8.891,11.0071,10.3849,3.7084,7.9722,8.6307,5.4839,6.9018,8.6991,7.6554,11.5061,3.9168,3.4138
100.306,50153,8.3172,10.8909,10.0895,4.1368,8.0211,8.2134,5.7316,7.8665,8.6528,7.6172,11.1113,3.7116,3.7892
100.308,50154,8.9709,11.3056,10.9507,3.5734,7.6546,8.0438,6.0055,7.2055,8.903,7.3681,10.9354,3.9628,3.8137
100.31,50155,8.9403,11.2061,10.4329,3.6043,7.9205,8.5136,5.6204,7.1346,10.1924,7.5125,11.1114,3.9579,3.5996
100.312,50156,8.8302,11.3122,10.9301,3.963,7.9896,8.169,5.911,7.0267,9.2938,7.596,11.0746,4.0116,3.654
100.314,50157,8.7642,11.3023,10.3023,3.9414,7.6041,8.8047,5.6338,8.0803,8.9864,7.6328,11.1282,3.5828,3.6178
100.316,50158,8.6783,10.8491,10.9088,3.8418,7.3678,8.464,5.5384,7.6462,9.0969,7.5329,11.7605,3.5201,3.4319
100.318,50159,8.4048,11.6999,11.3547,4.2727,7.5356,7.6746,5.4719,7.3099,9.0149,7.1338,11.134,3.8576,3.4154
100.32,50160,8.9,11.4388,10.5106,3.4407,7.6299,7.3483,5.5364,7.5716,8.2108,7.7511,11.693,4.008,3.8564
100.322,50161,8.4251,11.2922,11.0121,3.9592,7.5351,8.3372,5.1928,8.0596,8.7691,7.8631,11.0838,3.5622,3.6753
100.324,50162,8.8654,11.1126,10.7962,4.1208,7.8327,8.0099,6.0441,7.6775,8.0899,7.4499,11.6985,3.5492,3.825
100.326,50163,8.8318,11.1014,10.5578,4.2749,7.782,7.4683,5.7672,7.7725,7.9447,7.8311,11.3188,3.7919,3.5091
100.328,50164,8.5265,10.6686,10.1938,4.0653,7.8981,8.0064,6.1326,7.8739,7.3988,7.62,11.5122,3.8123,3.7924
100.33,50165,8.3248,11.3427,10.3705,4.1155,7.8488,7.6129,6.1432,7.2799,9.0074,7.4875,11.0462,3.4188,3.3398
100.332,50166,8.4824,11.9272,10.7063,4.193,7.7543,8.0285,6.0161,7.5944,8.0079,7.7104,10.8682,3.5407,3.7397
100.334,50167,8.5845,11.2615,10.2909,4.3347,7.8362,8.371,5.7924,8.1174,8.3854,7.504,11.2192,3.9719,3.6512
100.336,50168,8.887,11.1667,10.336,3.3959,8.0973,8.6343,5.4259,7.4726,8.1684,7.6072,11.1749,3.8044,3.3861
100.338,50169,8.8589,11.1733,9.8415,4.2222,8.0198,8.5164,5.7258,7.9306,7.0722,7.3083,10.9984,3.7362,3.9288
100.34,50170,8.6139,10.542,10.9154,4.1186,7.8705,7.6946,5.5147,7.7509,8.4351,7.9363,11.5795,3.286,3.4187
100.342,50171,8.7749,11.0427,11.0156,3.8181,7.4332,9.137,5.4518,7.2127,8.9035,7.7636,12.0386,3.9265,3.642
