Time,Frame,WT,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12
100.344,50172,8.7367,11.5364,10.8032,3.7801,8.4253,8.0442,5.564,7.6221,8.8313,7.6943,10.7799,3.5972,3.6712
100.346,50173,8.5282,11.3854,10.1505,4.0897,8.3189,8.0604,5.4557,7.4513,8.3822,7.5042,11.8704,3.6211,3.5403
100.348,50174,8.941,11.4341,10.6891,3.9381,7.6135,8.1319,5.3918,7.1286,8.3758,7.1429,11.0511,3.9789,3.9443
100.35,50175,8.7356,11.2144,10.32,3.8464,8.4372,8.7212,6.1562,7.2327,8.3791,7.2976,11.4882,3.6143,3.7525
100.352,50176,8.5495,11.2002,10.4267,3.9022,7.904,8.316,5.5785,7.4424,8.7129,7.6101,11.5492,3.5939,3.7518
100.354,50177,8.4523,10.9946,10.6033,3.8239,8.1574,8.4771,5.4894,7.0847,7.4354,7.7251,11.8347,3.708,3.6967
100.356,50178,8.7181,11.0383,10.3399,3.8601,7.7331,8.5254,5.9787,7.4495,8.1137,7.2807,12.07,3.9032,3.6507
100.358,50179,8.8985,10.9913,10.6889,4.486,7.5717,7.5188,5.6065,8.1541,9.5382,7.4212,12.0092,4.1431,3.4567
100.36,50180,9.2411,11.3843,10.5755,3.8438,7.7715,7.1884,6.1931,7.6487,8.6034,7.3809,11.3026,3.5528,3.5134
100.362,50181,8.4868,10.9598,10.227,3.6346,7.3039,8.0428,5.7302,7.849,7.9212,7.2055,11.5865,3.8596,3.4323
100.364,50182,8.7105,11.5784,10.5107,3.9427,7.9187,8.1857,5.6195,7.3928,8.32,7.5481,11.476,3.7471,3.6809
100.366,50183,9.0942,11.5245,10.7218,4.0339,7.7766,8.0023,5.8758,7.8323,7.8873,7.7582,11.2946,3.9254,3.3477
100.368,50184,8.7741,10.7612,10.9453,3.9591,7.6193,8.0359,5.9352,7.4386,9.0614,7.4636,11.3138,3.7883,3.9319
100.37,50185,8.6134,10.7155,10.0947,3.9771,8.0883,7.9531,5.7267,7.9743,8.2636,7.2527,11.574,3.8413,3.5627
100.372,50186,8.6896,11.0471,10.4337,3.7151,7.2152,7.9572,5.927,7.5392,9.168,6.8668,11.152,3.9161,4.2662
100.374,50187,8.6033,11.4926,10.2995,3.7104,7.9721,7.4353,5.4383,7.3261,7.9481,7.3304,11.0859,4.0657,3.6827
100.376,50188,8.7059,11.4396,10.6505,3.5133,7.9448,8.3374,5.3502,8.2992,7.9219,7.5765,11.2908,3.5581,3.8626
100.378,50189,8.6614,11.021,10.58,3.6246,7.6581,7.9035,5.6495,7.4525,8.0447,7.2953,11.7327,3.6619,3.6626
100.38,50190,8.8046,11.2246,11.1665,3.8099,7.4052,7.2572,5.6041,7.4071,7.742,7.3536,12.0297,3.6404,3.9064
100.382,50191,8.5792,11.6207,10.8385,4.0821,7.8203,7.5158,5.8405,8.0722,8.7659,7.6972,11.7458,3.5782,3.7625
